OBJECTID,rgn_typ,rgn_id,rgn_nam,rgn_key,are_km2,AO,BD,CP,CS,CW,ECO,FIS,FP,HAB,ICO,Index_,LE,LIV,LSP,MAR,NP,SP,SPP,TR,trnd_sc,Shape__Area,Shape__Length
84,eez,18,Fiji,FJI,1293035.66924,54.63,84.35,98.57,68.77,75.47,81.97,40.54,40.54,87.24,58.44,69.58,68.27,54.57,66.49,0.01,42.77,62.47,81.47,100,0.11,1426894499673.17,8765513.24456957
85,eez,180,United Kingdom,GBR,723406.80786,95.99,87.24,53.85,55.43,62.98,96.43,54.22,51.46,91.67,69.62,72.41,90.22,84,100,13.52,71.42,84.81,82.81,70.69,0.18,2462502947505.77,24850888.3530356
86,eez,181,Ireland,IRL,426441.724536,100,81.63,55.52,55.54,61.91,100,56.11,55.8,82.28,65.43,66.38,79.62,59.24,99.95,52.31,68.82,82.69,80.98,22.3,0.44,1162712027952.54,8331970.99243948
87,eez,182,Spain,ESP,555707.223459,92.78,74.6,53.58,53.64,50.48,100,56.86,58.7,75.83,69.77,67.61,79.01,58.02,100,62.65,50.75,84.89,73.37,77.71,0.32,992585774753.477,9474083.52336977
88,eez,183,Portugal,PRT,311717.992704,88.17,87.1,0,0,51.12,100,53.44,51.39,97.21,66.83,78.36,93.38,86.77,100,7.42,72.27,83.42,76.99,100,1.22,501353012239.707,3437101.30230161
89,eez,184,Italy,ITA,538881.000468,93.21,81.86,85.65,85.04,50.16,100,49.77,43.06,93.5,70.09,79.75,87.09,74.17,100,21.03,95.63,85.05,70.22,90.76,0.51,903221970701.973,11857181.8922006
91,eez,186,Montenegro,MNE,7459.24658513,73.07,85.39,0,0,59.5,97.58,53.12,50.77,100,62.34,55.26,79.72,61.86,0.75,4.81,0.82,31.54,70.77,61.23,0.26,14380980280.1299,525367.694010347
92,eez,187,Croatia,HRV,55462.3496455,73.3,88.39,0,0,63.71,100,53.43,50.83,100,61.56,71.3,80.18,60.36,98.85,24.47,33.78,80.21,76.78,100,0.07,111318052371.805,2651289.91735631
93,eez,188,Slovenia,SVN,186.313780278,91.05,90.9,0,0,28.16,100,42.55,31.86,100,62.62,61.61,100,100,100,15.71,29.54,81.31,81.81,40.04,-0.59,247090521.617188,73366.7088957812
94,eez,189,Lithuania,LTU,6125.64876457,92.28,73.02,0,0,45.6,100,49.29,49.29,63.15,95.45,64.3,77.69,55.38,100,0,59.49,97.73,82.9,19.27,-0.07,20231238881.3271,852878.628401779
95,eez,19,Tuvalu,TUV,751275.525556,47.82,88.37,100,0,62.92,100,67.4,67.39,100,60.74,72.55,100,100,7.11,0.18,0,33.93,76.74,79.94,0.9,765456057640.675,5495423.58667
96,eez,190,Qatar,QAT,31987.676133,100,92.98,95.26,90.25,64.97,81.17,43.22,43.22,98,58.52,75.29,68.08,54.99,75.7,0,0,67.11,87.96,55.76,0.48,39372639210.4375,1306627.59590069
97,eez,191,Iran,IRN,163764.703229,80.04,87.97,88.97,87.27,66.23,60.36,24.23,24.19,91.12,54.69,60.78,80.18,100,63.81,23.52,33.68,59.25,84.83,0,-1.15,204339070516.861,4602632.8794905
98,eez-inland,191,Iran,IRN,61035.8692793,80.04,87.97,88.97,87.27,66.23,60.36,24.23,24.19,91.12,54.69,60.78,80.18,100,63.81,23.52,33.68,59.25,84.83,0,-1.15,96348926497.7207,1546380.23736737
99,eez,192,Iraq,IRQ,595.827362512,64.32,82.88,82.58,82.52,41.56,71.05,29.57,29.57,83.89,46.99,54.72,85.53,100,0,0,0,23.5,81.87,0,0.12,1349250458.68164,219683.60311723
100,eez,193,Guinea Bissau,GNB,106506.62063,51.33,73.17,30.1,30.37,54.99,25.59,49.39,49.39,68.13,64.17,48.57,61,96.41,100,0,0,82.08,78.2,4.71,-0.16,113018592850.951,1962841.47535383
101,eez,194,Guinea,GIN,110136.291533,44.29,75.52,31.21,32.81,42.23,97.77,57.54,57.54,72.38,61.58,49.6,80.03,62.28,79.67,0,0,70.62,78.65,12.19,0.01,111372479884.629,1666965.69865871
102,eez,195,Ivory Coast,CIV,174842.242742,46.4,70.14,32.48,32.39,37.73,100,40.08,40.08,62.49,68.44,41.37,85.67,71.34,22.96,0,1.63,45.7,77.79,21.44,-0.36,176747898676.697,1691394.60114451
103,eez,196,Nigeria,NGA,182874.660848,53.06,64.77,97.26,97.1,28.1,51.3,45.45,45.45,54.78,66.9,50.65,75.65,100,8.84,0,5.37,37.87,74.76,1.89,-0.47,184424035638.17,3008960.72183379
104,eez,197,Cameroon,CMR,14704.2563269,45.08,79.78,92.39,92.1,34.49,98.41,69.89,69.89,81.03,65.34,63.68,75.6,52.79,74.89,0,0,70.11,78.54,13.68,-0.22,16235862851.426,1085526.22878996
105,eez,198,Gabon,GAB,193292.328729,73.42,75.26,71.36,71.31,62.95,79.89,61.92,61.92,72.21,65.28,62.69,59.24,38.58,100,0,0,82.64,78.31,6.12,0.55,194011332575.371,2469666.45749378
106,eez,199,Democratic Republic of the Congo,COD,13265.4038508,48.86,69.54,29.83,29.79,39.54,96.07,45.91,45.91,64.45,62.16,47.15,98.04,100,62.58,0,0,62.37,74.62,0.42,-0.14,13628594918.3478,885220.480859614
107,eez,2,Christmas Island,CXR,330035.519533,96.97,88.96,93.12,92.76,81.51,100,48.39,48.39,94.68,58.48,82.76,96.35,92.7,55.47,0,0,56.98,83.23,89.84,-0.25,333891189023.981,2142066.24744248
108,eez,20,South Korea,KOR,324993.775336,95.69,95.48,0,0,64.28,100,27.73,76.74,100,68.29,77.16,94.78,89.56,83.06,97.06,90.19,75.68,90.95,24.42,0.16,496841307874.18,7141285.35353716
109,eez,200,Angola,AGO,493753.372908,52.83,79.06,87.06,84.65,52.73,88.9,47.59,47.59,84.57,60.61,59.32,73.81,58.72,25.31,0,67.12,42.96,73.55,5.37,1.06,511581926563.322,4152429.71785005
110,eez,202,Tanzania,TZA,243129.576634,66.6,80.94,68.34,84.12,47.95,100,43.1,42.95,76.67,62.54,67.09,100,100,100,0.21,71.54,81.27,85.2,27.18,0.15,248140381401.928,2686323.39745273
111,eez,203,India,IND,1637705.82252,50.78,89.6,97.4,86.88,22.7,100,36.32,33.21,95.33,55.7,58.68,69.42,38.83,24.25,12.15,44.23,39.98,83.87,52.59,0.19,1752229383923.75,12467050.3689762
112,eez,204,Bangladesh,BGD,84563.2563621,59.86,88.83,100,99.77,23.67,99.95,22.85,22.83,94.52,65.24,66.36,99.98,100,59.8,22.57,95.01,62.52,83.13,11.14,1.3,97752321340.1289,2305623.83926936
113,eez,205,Myanmar,MMR,514147.233008,49.08,88.89,92.77,89.04,46.92,94.15,10.95,10.8,93.35,58.45,62.97,97.08,100,38.73,4.57,81.46,48.59,84.44,25.05,1.19,559842705772.207,6531772.43678819
114,eez,206,Malaysia,MYS,451796.70162,82.9,86.87,93.73,84.45,64.15,71.55,31.92,31.44,87.3,57.38,63.51,79.4,87.24,16.33,14.6,21.58,36.86,86.45,53.72,-0.3,459394644868.091,9573675.8853102
115,eez,207,Vietnam,VNM,647232.077085,55.76,85.74,89.03,60.84,41.5,86.39,11.82,19.26,85.66,64.72,57.04,74.24,62.08,84.55,48.47,27.19,74.63,85.82,42.17,0.62,681576485398.149,7333558.65905396
116,eez,208,Singapore,SGP,762.687331733,100,80.89,82.37,83.18,47.97,100,47.14,39.9,76.16,66.68,63.18,96.36,92.71,0.79,3.32,4.63,33.73,85.62,62.8,0.05,726324675.716675,208839.304407382
117,eez,209,China,CHN,878363.96899,81.91,81.52,69.65,52.68,29.76,99.63,33.93,76.82,74.88,61.25,60.44,96.52,93.42,10.27,100,34.65,35.76,88.17,45.09,-0.02,1180375820836.29,16986990.7926942
118,eez,21,North Korea,PRK,115967.30285,76.99,88.09,93.56,0,50.84,48.35,10.16,32.34,96.56,64.78,58.61,70.17,91.98,0.12,52.98,83.05,32.45,79.63,0,0.54,198393836649.539,3574260.74191011
119,eez,210,Japan,JPN,4040612.34213,93.13,90.36,99.95,95.32,62.33,100,44.83,42.25,96.05,64.89,67.59,78.29,56.58,100,34.41,8.3,82.44,84.67,23.55,-0.59,5414662319456.56,31425818.7185749
120,eez,212,Kiribati,KIR,1055117.01701,54.64,82.87,99.49,86.86,27.96,100,46.29,46.29,88.36,64.47,59.21,89.31,78.62,0,0.02,3.74,32.23,77.39,68.69,-1.32,1053299445561.55,4795309.08207553
121,eez,214,Egypt,EGY,236612.008503,74.24,88.15,97.14,85.43,49.5,100,33.68,29.42,97.61,57.41,69.54,97.83,95.67,71.14,25.68,77.3,64.28,78.68,32.08,0.5,322193174854.067,5688581.61486013
123,eez,216,Indonesia,IDN,5947885.10452,57.22,84.04,87.33,66.78,55.77,99.4,50,47.41,81.88,64.06,66.99,71.41,43.43,63.69,26.49,92.61,63.88,86.2,43.43,0.64,6050648095927.89,55172914.9320719
